Timestamp,CPU (%),Memory VSZ (KB)
2025-01-13 15:40:29,50.0, 32792
2025-01-13 15:40:30, 3.8, 33056
2025-01-13 15:40:31, 2.8, 33232
2025-01-13 15:40:33, 1.9, 33232
2025-01-13 15:40:34, 1.9, 33232
2025-01-13 15:40:35, 1.7, 33232
2025-01-13 15:40:36, 1.6, 33232
2025-01-13 15:40:37, 1.5, 33232
2025-01-13 15:40:38, 1.3, 33232
2025-01-13 15:40:39, 1.3, 33232
2025-01-13 15:40:40, 1.3, 33232
2025-01-13 15:40:41, 1.4,108036
2025-01-13 15:40:42, 1.2,108036
2025-01-13 15:40:43, 1.2,108036
2025-01-13 15:40:44, 1.2,108036
2025-01-13 15:40:45, 1.1,108036
2025-01-13 15:40:46, 1.1,108036
2025-01-13 15:40:47, 1.1,108036
2025-01-13 15:40:48, 1.0,108036
2025-01-13 15:40:49, 1.0,108036
2025-01-13 15:40:50, 1.0,108036
2025-01-13 15:40:51, 1.0,108036
2025-01-13 15:40:52, 1.0,108016
2025-01-13 15:40:53, 1.0,108016
2025-01-13 15:40:54, 1.0,108016
2025-01-13 15:40:55, 1.0,108016
2025-01-13 15:40:56, 1.0,108016
2025-01-13 15:40:57, 1.0,108016
2025-01-13 15:40:58, 1.0,108016
2025-01-13 15:40:59, 1.0,108016
2025-01-13 15:41:00, 1.0,108016
2025-01-13 15:41:01, 1.0,108016
2025-01-13 15:41:02, 1.0,108036
2025-01-13 15:41:04, 1.0,108036
2025-01-13 15:41:05, 1.0,108036
2025-01-13 15:41:06, 1.0,108036
2025-01-13 15:41:07, 1.0,108036
2025-01-13 15:41:08, 0.9,108036
2025-01-13 15:41:09, 0.9,108036
2025-01-13 15:41:10, 0.9,108036
2025-01-13 15:41:11, 0.9,108036
2025-01-13 15:41:12, 0.9,108036
2025-01-13 15:41:13, 0.9,108036
2025-01-13 15:41:14, 0.9,108016
2025-01-13 15:41:15, 0.9,108016
2025-01-13 15:41:16, 0.9,108016
2025-01-13 15:41:17, 0.9,108016
2025-01-13 15:41:18, 0.9,108016
2025-01-13 15:41:19, 0.9,108016
2025-01-13 15:41:20, 0.9,108016
2025-01-13 15:41:21, 0.9,108016
2025-01-13 15:41:22, 0.9,108016
2025-01-13 15:41:23, 0.9,108016
2025-01-13 15:41:24, 1.0,108036
2025-01-13 15:41:25, 0.9,108036
2025-01-13 15:41:26, 0.9,108036
2025-01-13 15:41:27, 0.9,108036
2025-01-13 15:41:28, 0.9,108036
2025-01-13 15:41:29, 0.9,108036
2025-01-13 15:41:30, 0.9,108036
2025-01-13 15:41:31, 0.9,108036
2025-01-13 15:41:32, 0.9,108036
2025-01-13 15:41:33, 0.9,108036
2025-01-13 15:41:34, 0.9,108036
2025-01-13 15:41:35, 0.9,108016
2025-01-13 15:41:36, 0.9,108016
2025-01-13 15:41:38, 0.9,108016
2025-01-13 15:41:39, 0.9,108016
2025-01-13 15:41:40, 0.9,108016
2025-01-13 15:41:41, 0.9,108016
2025-01-13 15:41:42, 0.9,108016
2025-01-13 15:41:43, 0.9,108016
2025-01-13 15:41:44, 0.9,108016
2025-01-13 15:41:45, 0.9,108016
2025-01-13 15:41:46, 0.9,108036
2025-01-13 15:41:47, 0.9,108036
2025-01-13 15:41:48, 0.9,108036
2025-01-13 15:41:49, 0.9,108036
2025-01-13 15:41:50, 0.9,108036
2025-01-13 15:41:51, 0.9,108036
2025-01-13 15:41:52, 0.9,108036
2025-01-13 15:41:53, 0.9,108036
2025-01-13 15:41:54, 0.9,108036
2025-01-13 15:41:55, 0.9,108036
2025-01-13 15:41:56, 0.9,108036
2025-01-13 15:41:57, 0.9,108036
2025-01-13 15:41:58, 0.9,108016
2025-01-13 15:41:59, 0.9,108016
2025-01-13 15:42:00, 0.9,108016
2025-01-13 15:42:01, 0.9,108016
2025-01-13 15:42:02, 0.9,108016
2025-01-13 15:42:03, 0.9,108016
